participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
1,WRIST_ARM,GS2,G,0,7.5,4.185134,2,0.2885927,0.2885927,7.213411,-0.1772395,347.8847,W3,C0,1
1,WRIST_ARM,GS2,G,0,7.5,3.292168,0,0.2885927,0.2885927,7.023688,-0.1778001,351.5409,W3,C0,2
1,WRIST_ARM,GS2,G,0,10.5,4.248073,0,0.2885927,0.2885927,0.3842642,-0.03064013,328.8698,W3,C0,3
1,WRIST_ARM,GS2,G,0,7.5,3.54008,0,0.3028868,0.3028868,7.010765,-0.229311,355.4286,W3,C0,4
1,WRIST_ARM,GS2,G,5,7.5,8.542814,4,0.2831996,0.2831996,0.4060435,0.03214312,321.4354,W3,C0,5
1,WRIST_ARM,GS2,G,0,7.5,3.689282,1,0.2831996,0.2831996,7.045609,4.641997,18.20898,W3,C0,6
1,WRIST_ARM,GS2,G,0,7.5,3.931654,0,0.3649869,0.3776702,0.4082238,-0.2065368,358.9723,W3,C0,7
1,WRIST_ARM,GS2,G,5,10.5,3.594177,0,0.3649869,0.3776702,0.5008531,-0.005661011,325.5699,W3,C0,8
1,WRIST_ARM,GS2,G,0,7.5,3.974088,0,0.3454617,0.3454617,7.116137,4.687582,16.85812,W3,C0,9
1,WRIST_ARM,GS2,G,0,10.5,2.246959,0,0.3414766,4.146567,9.861076,-0.1695116,355.8784,W3,C0,10
1,WRIST_ARM,GS2,G,5,7.5,2.320957,0,0.3194578,0.3194578,6.976037,-4.92379,327.3183,W3,C0,11
1,WRIST_ARM,GS2,G,0,7.5,3.272849,1,0.29932,0.29932,6.964119,4.640623,18.34042,W3,C0,12
1,WRIST_ARM,GS2,G,5,7.5,3.099779,0,0.2378247,0.2378247,6.942509,-4.929683,328.1516,W3,C0,13
1,WRIST_ARM,GS2,G,0,10.5,4.911206,3,0.2557895,0.2557895,0.3884264,-0.2964835,6.683856,W3,C0,14
1,WRIST_ARM,GS2,G,5,7.5,2.655972,0,0.2450488,0.2450488,6.98602,-4.96399,326.7765,W3,C0,15
1,WRIST_ARM,GS2,G,0,10.5,3.178578,0,0.2450488,0.2450488,0.3973459,-0.3084164,9.267061,W3,C0,16
1,WRIST_ARM,GS2,G,0,10.5,3.500896,0,0.2450488,0.2450488,0.476655,-0.1720638,354.6827,W3,C0,17
1,WRIST_ARM,GS2,G,0,10.5,2.552497,0,0.3065209,0.3065209,9.858267,-0.1377114,350.428,W3,C0,18
1,WRIST_ARM,GS2,G,5,10.5,3.98534,2,0.2420309,0.2420309,9.965078,-4.97747,327.5635,W3,C0,19
1,WRIST_ARM,GS2,G,0,7.5,2.386478,0,0.2234877,0.2234877,7.064607,4.611983,19.39727,W3,C0,20
1,WRIST_ARM,GS2,G,5,10.5,1.974843,0,0.2234877,0.2234877,9.987088,-4.956159,325.9282,W3,C0,21
1,WRIST_ARM,GS2,G,0,7.5,3.217255,1,0.3259518,0.3259518,7.109339,4.649934,18.47599,W3,C0,22
1,WRIST_ARM,GS2,G,0,10.5,5.058085,1,0.2387497,0.2387497,10.08847,-0.1217313,349.5082,W3,C0,23
1,WRIST_ARM,GS2,G,5,10.5,8.065439,1,0.2621076,0.2621076,10.01666,-4.978522,322.2137,W3,C0,24
1,WRIST_ARM,GS2,G,0,10.5,7.859919,0,0.2621076,0.2621076,0.4201947,-0.2993838,11.68635,W3,C0,25
1,WRIST_ARM,GS2,G,0,10.5,1.843677,0,0.2621076,0.2621076,9.899639,-0.1555843,352.8113,W3,C0,26
1,WRIST_ARM,GS2,G,0,7.5,2.516048,0,0.2848149,0.3675969,0.4698001,-0.2291671,1.958622,W3,C0,27
1,WRIST_ARM,GS2,G,5,7.5,2.303218,0,0.3086374,0.3086374,6.976907,-4.947905,328.102,W3,C0,28
1,WRIST_ARM,GS2,G,0,10.5,5.861471,2,0.2685582,2.945955,0.3658511,-0.2083765,359.7777,W3,C0,29
1,WRIST_ARM,GS2,G,5,10.5,6.454783,1,0.2685582,2.945955,9.850573,-4.923331,327.6068,W3,C0,30
1,WRIST_ARM,GS2,G,0,7.5,2.563809,8,0.2744943,0.2744943,7.053648,-0.1920122,0.3414039,W3,C0,1
1,WRIST_ARM,GS2,G,5,7.5,1.903904,0,0.3845185,0.3845185,0.5227404,0.05181742,329.0068,W3,C0,2
1,WRIST_ARM,GS2,G,0,10.5,4.081636,2,0.3845185,0.3845185,10.0367,4.731131,6.771517,W3,C0,3
1,WRIST_ARM,GS2,G,0,7.5,2.138113,0,0.2872757,0.2872757,6.955195,-0.1958579,359.3171,W3,C0,4
1,WRIST_ARM,GS2,G,5,10.5,3.321384,1,0.3435415,0.3435415,0.5031602,0.07209635,328.006,W3,C0,5
1,WRIST_ARM,GS2,G,0,10.5,2.482116,0,0.3055204,0.3055204,0.4184277,-0.3171519,13.98716,W3,C0,6
1,WRIST_ARM,GS2,G,0,10.5,3.027862,0,0.3055204,0.3055204,9.967884,-0.1631213,354.8662,W3,C0,7
1,WRIST_ARM,GS2,G,0,7.5,2.83322,1,0.3055204,0.3055204,0.4429352,-0.210411,353.9221,W3,C0,8
1,WRIST_ARM,GS2,G,5,7.5,2.057101,0,0.3150224,0.3150224,6.930824,-4.903657,328.3275,W3,C0,9
1,WRIST_ARM,GS2,G,0,7.5,2.260728,0,0.3150224,0.3150224,0.364568,-0.3790007,17.52179,W3,C0,10
1,WRIST_ARM,GS2,G,5,7.5,2.72214,0,0.2671725,13.85666,0.4740293,0.01314402,329.7676,W3,C0,11
1,WRIST_ARM,GS2,G,0,10.5,6.998422,2,0.2671725,13.85666,0.4418277,-0.2963649,12.2357,W3,C0,12
1,WRIST_ARM,GS2,G,5,7.5,2.370706,0,0.2671725,13.85666,7.086563,-4.940744,328.5267,W3,C0,13
1,WRIST_ARM,GS2,G,0,7.5,2.681729,0,0.2527826,0.2527826,6.987032,4.640254,22.80419,W3,C0,14
1,WRIST_ARM,GS2,G,5,10.5,5.62698,0,0.2527826,0.2527826,0.4354399,0.08638906,330.1031,W3,C0,15
