participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
14,WRIST_ARM,GS2,G,0,10.5,2.897479,0,0.3364853,0.3364853,0.4497838,-0.08678305,340.8939,W3,C3,1
14,WRIST_ARM,GS2,G,5,7.5,2.520559,0,0.3364853,0.3364853,0.5800831,0.05776548,325.5929,W3,C3,2
14,WRIST_ARM,GS2,G,0,7.5,2.657763,0,0.3364853,0.3364853,7.150169,4.747008,10.56651,W3,C3,3
14,WRIST_ARM,GS2,G,0,10.5,2.257262,0,0.2991588,0.2991588,9.802414,-0.02594149,351.3911,W3,C3,4
14,WRIST_ARM,GS2,G,0,10.5,4.805545,1,0.2991588,0.2991588,10.04485,-0.005920649,341.3948,W3,C3,5
14,WRIST_ARM,GS2,G,5,7.5,3.978618,1,0.2991588,0.2991588,0.6087647,0.1609511,325.241,W3,C3,6
14,WRIST_ARM,GS2,G,0,7.5,2.158073,0,0.3134337,0.3134337,7.084364,4.69518,13.45723,W3,C3,7
14,WRIST_ARM,GS2,G,0,10.5,3.244261,0,0.2932409,0.2932409,9.872622,-0.09034216,350.5005,W3,C3,8
14,WRIST_ARM,GS2,G,5,7.5,3.440813,0,0.3067411,14.9547,7.070284,-4.758779,324.3024,W3,C3,9
14,WRIST_ARM,GS2,G,0,7.5,3.509447,0,0.2753143,0.2753143,7.085258,4.570625,17.45703,W3,C3,10
14,WRIST_ARM,GS2,G,0,10.5,2.250849,0,0.2753143,0.2753143,10.04073,-0.1356608,346.852,W3,C3,11
14,WRIST_ARM,GS2,G,5,10.5,3.815934,0,0.2610587,12.46163,9.898988,-4.857287,326.7829,W3,C3,12
14,WRIST_ARM,GS2,G,0,10.5,2.924486,0,0.3637612,0.3398902,0.3748241,-0.2295814,356.0643,W3,C3,13
14,WRIST_ARM,GS2,G,5,10.5,4.190464,0,0.3637612,0.3398902,9.997074,-4.942694,324.4171,W3,C3,14
14,WRIST_ARM,GS2,G,0,7.5,3.887718,0,0.2739744,0.2739744,0.3220577,-0.2589118,3.435258,W3,C3,15
14,WRIST_ARM,GS2,G,5,7.5,3.33921,0,0.2628618,0.2628618,0.5295167,0.1033959,324.671,W3,C3,16
14,WRIST_ARM,GS2,G,0,10.5,3.662407,0,0.2628618,0.2628618,0.4112132,-0.2604455,2.628171,W3,C3,17
14,WRIST_ARM,GS2,G,0,10.5,6.988512,1,0.2433182,5.76507,9.835613,-0.07332492,348.1743,W3,C3,18
14,WRIST_ARM,GS2,G,5,7.5,4.65238,2,0.2433182,5.76507,0.5210838,0.133533,325.7434,W3,C3,19
14,WRIST_ARM,GS2,G,0,7.5,12.92948,1,0.2152511,0.2152511,6.930545,4.588636,29.73171,W3,C3,20
14,WRIST_ARM,GS2,G,0,7.5,1.96546,0,0.2152511,0.2152511,6.97352,-0.1340557,3.134226,W3,C3,21
14,WRIST_ARM,GS2,G,0,7.5,2.15677,0,0.3322113,0.3322113,6.87772,-0.05248952,3.594135,W3,C3,22
14,WRIST_ARM,GS2,G,5,10.5,2.982687,0,0.3069877,12.53331,0.5163665,0.1882095,325.9849,W3,C3,23
14,WRIST_ARM,GS2,G,0,7.5,1.861109,0,0.3202223,0.3145335,7.008654,4.634664,25.35674,W3,C3,24
14,WRIST_ARM,GS2,G,0,10.5,3.803993,1,0.2957841,0.2957841,0.5436295,-0.01805604,352.1677,W3,C3,25
14,WRIST_ARM,GS2,G,0,10.5,2.475525,0,0.2957841,0.2957841,9.852462,-0.01187861,354.6076,W3,C3,26
14,WRIST_ARM,GS2,G,5,10.5,3.665643,0,0.3067254,0.3067254,0.5146745,0.2208409,325.9933,W3,C3,27
14,WRIST_ARM,GS2,G,0,7.5,2.335479,0,0.3067254,0.3067254,7.020776,4.6218,19.0722,W3,C3,28
14,WRIST_ARM,GS2,G,0,7.5,2.216083,0,0.3246232,0.2719795,7.051879,-0.1605923,353.3949,W3,C3,29
14,WRIST_ARM,GS2,G,5,10.5,2.825844,0,0.3246232,0.2719795,0.6197792,0.1251535,325.5402,W3,C3,30
14,WRIST_ARM,GS2,G,0,10.5,3.145715,1,0.3246232,0.2719795,0.4568301,-0.1368586,343.1559,W3,C3,1
14,WRIST_ARM,GS2,G,0,10.5,5.137875,0,0.2415554,0.2415554,9.864347,0.04301584,353.2794,W3,C3,2
