Participant_id,Technique,Gesture_set,height,distance,Checkpoint_time,Object_view_time,mistake_count,personalization_type
1,WRIST_ARM,GS2,0,10.5,4.441458,0.5792147,36,W1
1,WRIST_ARM,GS2,0,10.5,4.381784,0.5146241,0,W1
1,WRIST_ARM,GS2,5,10.5,3.78758,0.8907861,0,W1
1,WRIST_ARM,GS2,0,3.5,4.249076,1.853459,0,W1
1,WRIST_ARM,GS2,0,7,2.908161,1.010273,0,W1
1,WRIST_ARM,GS2,2.5,10.5,4.776248,0.8895754,0,W1
1,WRIST_ARM,GS2,0,7,2.253985,0.7218193,0,W1
1,WRIST_ARM,GS2,5,3.5,2.773817,1.324722,0,W1
1,WRIST_ARM,GS2,0,10.5,2.934689,1.318226,1,W1
1,WRIST_ARM,GS2,2.5,7,4.998759,0.7229024,0,W1
1,WRIST_ARM,GS2,0,7,3.785033,0.5272946,1,W1
1,WRIST_ARM,GS2,5,10.5,6.977727,0.8354059,0,W1
1,WRIST_ARM,GS2,0,10.5,2.960957,0.7765732,2,W1
1,WRIST_ARM,GS2,2.5,3.5,3.455524,0.460248,0,W1
1,WRIST_ARM,GS2,0,7,2.646414,0.5182174,0,W1
1,WRIST_ARM,GS2,2.5,10.5,12.69779,0.3337026,4,W1
1,WRIST_ARM,GS2,0,10.5,6.4712,1.569736,2,W1
1,WRIST_ARM,GS2,0,7,2.59139,0.653738,0,W1
1,WRIST_ARM,GS2,5,3.5,7.978355,4.441607,2,W1
1,WRIST_ARM,GS2,0,7,2.602262,0.9701157,0,W1
1,WRIST_ARM,GS2,5,10.5,10.45601,1.086712,0,W1
1,WRIST_ARM,GS2,0,10.5,2.059763,0.2476606,0,W1
1,WRIST_ARM,GS2,2.5,7,3.43827,0.4725297,0,W1
1,WRIST_ARM,GS2,0,3.5,2.062001,0.7233878,0,W1
1,WRIST_ARM,GS2,0,7,2.24073,0.5285056,0,W1
1,WRIST_ARM,GS2,0,3.5,2.937901,0.6257137,0,W1
1,WRIST_ARM,GS2,2.5,3.5,2.716172,0.597149,0,W1
1,WRIST_ARM,GS2,0,3.5,2.003803,1.180728,0,W1
1,WRIST_ARM,GS2,5,7,10.02446,0.6947999,1,W1
1,WRIST_ARM,GS2,0,3.5,3.271542,0.8767394,1,W1
1,WRIST_ARM,GS2,0,3.5,4.064439,1.809402,1,W1
1,WRIST_ARM,GS2,0,7,3.481508,0.9597349,2,W1
1,WRIST_ARM,GS2,5,7,2.339442,0.987871,0,W1
1,WRIST_ARM,GS2,0,3.5,5.943952,1.322092,3,W1
1,WRIST_ARM,GS2,0,10.5,3.591159,1.544555,0,W1
1,WRIST_ARM,GS2,2.5,3.5,4.582047,0.9338315,0,W1
1,WRIST_ARM,GS2,0,3.5,3.744943,1.934186,1,W1
1,WRIST_ARM,GS2,5,7,3.760794,1.182444,1,W1
1,WRIST_ARM,GS2,0,10.5,6.108164,1.235135,4,W1
1,WRIST_ARM,GS2,5,3.5,6.36778,1.14257,0,W1
1,WRIST_ARM,GS2,0,7,6.775681,1.48276,2,W1
1,WRIST_ARM,GS2,0,10.5,5.068871,1.141413,0,W1
1,WRIST_ARM,GS2,2.5,7,3.909436,2.017884,0,W1
1,WRIST_ARM,GS2,0,3.5,2.160613,0.670309,0,W1
1,WRIST_ARM,GS2,2.5,10.5,5.387669,0.6255206,1,W1
1,WRIST_ARM,GS2,0,10.5,3.185357,0.6255206,8,W1
1,WRIST_ARM,GS2,5,10.5,34.05261,0.9459134,7,W1
1,WRIST_ARM,GS2,0,10.5,2.759575,0.6969097,1,W1
1,WRIST_ARM,GS2,5,10.5,4.078714,0.6954067,0,W1
1,WRIST_ARM,GS2,0,7,3.661275,1.042764,0,W1
1,WRIST_ARM,GS2,0,10.5,6.599077,0.4738663,0,W1
1,WRIST_ARM,GS2,0,7,4.484154,0.6397673,0,W1
1,WRIST_ARM,GS2,2.5,3.5,2.435467,0.388942,0,W1
1,WRIST_ARM,GS2,0,10.5,4.623487,0.9594362,0,W1
1,WRIST_ARM,GS2,0,3.5,2.185211,0.65281,0,W1
1,WRIST_ARM,GS2,5,7,17.3328,1.504995,0,W1
1,WRIST_ARM,GS2,0,3.5,7.07062,3.326962,2,W1
1,WRIST_ARM,GS2,2.5,7,5.572703,0.8926466,1,W1
1,WRIST_ARM,GS2,0,7,4.20195,0.8329977,1,W1
1,WRIST_ARM,GS2,0,7,3.942546,0.6673424,2,W1
1,WRIST_ARM,GS2,5,7,5.191062,1.042132,2,W1
1,WRIST_ARM,GS2,0,10.5,3.830124,1.306992,1,W1
1,WRIST_ARM,GS2,5,7,7.878492,1.027966,2,W1
1,WRIST_ARM,GS2,0,3.5,2.755675,1.143534,0,W1
1,WRIST_ARM,GS2,2.5,7,4.859935,1.128207,1,W1
1,WRIST_ARM,GS2,0,3.5,2.464972,0.7914157,0,W1
1,WRIST_ARM,GS2,2.5,3.5,2.895077,0.8898519,0,W1
1,WRIST_ARM,GS2,0,3.5,2.019584,0.9471055,0,W1
1,WRIST_ARM,GS2,2.5,10.5,20.32663,0.5419825,0,W1
1,WRIST_ARM,GS2,0,3.5,2.506863,0.6648403,0,W1
1,WRIST_ARM,GS2,2.5,10.5,6.682736,0.8331819,3,W1
1,WRIST_ARM,GS2,0,10.5,8.742221,0.5263875,0,W1
1,WRIST_ARM,GS2,0,7,3.785241,1.043387,0,W1
1,WRIST_ARM,GS2,0,3.5,2.173167,0.5013366,0,W1
1,WRIST_ARM,GS2,5,3.5,5.667227,1.114385,0,W1
1,WRIST_ARM,GS2,0,7,9.521175,0.846844,0,W1
1,WRIST_ARM,GS2,5,10.5,48.65943,1.044349,8,W1
1,WRIST_ARM,GS2,0,10.5,6.249977,1.23664,1,W1
1,WRIST_ARM,GS2,5,3.5,4.121122,1.710697,2,W1
1,WRIST_ARM,GS2,0,7,3.425654,0.7077047,0,W1
1,WRIST_ARM,GS2,2.5,10.5,44.4407,1.000949,3,W1
