Condition,Timestamp,Participant_id,Technique,Gesture_set,Pointer_type,height,distance,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,combo_index
A1,7/25/2022 16:45,1,ARM,GS2,G,0,11,22.08858,33.25803,22.08858,7,0.4980876,0.4980876,1
A1,7/25/2022 16:45,1,ARM,GS2,G,0,5.5,2.171422,0.8193914,24.26,0,0.4338579,0.4338579,2
A1,7/25/2022 16:45,1,ARM,GS2,G,5,11,2.64578,0.3331439,26.90578,0,0.4826956,0.4986058,3
A1,7/25/2022 16:45,1,ARM,GS2,G,0,5.5,2.283163,1.135942,29.18894,0,0.4659828,0.4659828,4
A1,7/25/2022 16:45,1,ARM,GS2,G,5,5.5,4.329734,0.5957261,33.51867,1,0.5009171,0.4801523,5
A1,7/25/2022 16:45,1,ARM,GS2,G,0,5.5,1.865898,0.7352313,35.38456,0,0.4716519,0.4716519,6
A1,7/25/2022 16:45,1,ARM,GS2,G,2.5,11,2.520063,0.3338716,37.90462,0,0.4679153,0.4778661,7
A1,7/25/2022 16:45,1,ARM,GS2,G,0,11,2.67294,0.3621706,40.57756,0,0.4705515,0.4705515,8
A1,7/25/2022 16:45,1,ARM,GS2,G,0,11,1.489836,0.01433708,42.0674,0,0.4813478,0.4813478,9
A1,7/25/2022 16:45,1,ARM,GS2,G,5,5.5,2.018451,0.01353896,44.08585,0,0.4824247,0.4824247,10
A1,7/25/2022 16:45,1,ARM,GS2,G,0,11,3.13227,0.3779372,47.21812,1,0.406541,0.406541,11
A1,7/25/2022 16:45,1,ARM,GS2,G,5,11,2.908128,0.422735,50.12628,0,0.4740091,0.4740091,12
A1,7/25/2022 16:45,1,ARM,GS2,G,0,11,2.034548,0.480607,52.16081,0,0.4719248,0.5073655,13
A1,7/25/2022 16:45,1,ARM,GS2,G,2.5,5.5,2.283591,0.5676258,54.44441,0,0.5095329,0.5095329,14
A1,7/25/2022 16:45,1,ARM,GS2,G,0,5.5,2.11588,0.5059295,56.56028,0,0.4832447,0.4832447,15
A1,7/25/2022 16:45,1,ARM,GS2,G,0,5.5,1.47614,0.199812,58.03642,0,0.5075424,0.7394963,16
A1,7/25/2022 16:46,1,ARM,GS2,G,0,11,4.070132,0.7933972,62.10657,1,0.5037792,0.4638234,17
A1,7/25/2022 16:46,1,ARM,GS2,G,2.5,11,2.890809,0.7888379,64.99738,0,0.455204,0.4437584,18
A1,7/25/2022 16:46,1,ARM,GS2,G,0,5.5,2.004664,0.3900862,67.00202,0,0.5083461,0.5083461,19
A1,7/25/2022 16:46,1,ARM,GS2,G,2.5,5.5,3.24399,0.78601,70.24604,0,0.4426941,0.4426941,20
A2,7/25/2022 16:47,1,ARM,GS2,G,0,11,2.157656,0.78601,2.157656,0,0.4688515,0.4456463,1
A2,7/25/2022 16:47,1,ARM,GS2,G,2.5,11,2.714596,0.9357765,4.872252,0,0.4974153,0.4974153,2
A2,7/25/2022 16:47,1,ARM,GS2,G,0,11,2.464637,1.188427,7.336891,0,0.4541124,0.4829396,3
A2,7/25/2022 16:47,1,ARM,GS2,G,5,11,2.74278,0.7058308,10.07967,0,0.5108389,0.5108389,4
A2,7/25/2022 16:47,1,ARM,GS2,G,0,5.5,2.074674,0.6763387,12.15434,0,0.4615196,0.4615196,5
A2,7/25/2022 16:47,1,ARM,GS2,G,0,5.5,1.642882,0.4949925,13.79722,0,0.4965411,0.4154244,6
A2,7/25/2022 16:47,1,ARM,GS2,G,2.5,5.5,2.018801,0.4803504,15.81602,0,0.4940648,0.4940648,7
A2,7/25/2022 16:47,1,ARM,GS2,G,0,11,2.171531,0.7889542,17.98755,0,0.4747753,0.4747753,8
A2,7/25/2022 16:47,1,ARM,GS2,G,5,5.5,2.547847,0.5733924,20.53539,0,0.4804616,0.4804616,9
A2,7/25/2022 16:47,1,ARM,GS2,G,0,5.5,2.018955,0.7494315,22.55434,0,0.415832,0.415832,10
A2,7/25/2022 16:47,1,ARM,GS2,G,5,5.5,2.56311,0.6964954,25.11745,0,0.5014864,12.134,11
A2,7/25/2022 16:47,1,ARM,GS2,G,0,11,1.933281,0.3169264,27.05075,0,0.4542825,0.4542825,12
A2,7/25/2022 16:47,1,ARM,GS2,G,0,11,2.409091,0.5572595,29.45984,0,0.4762709,1.33262,13
A2,7/25/2022 16:47,1,ARM,GS2,G,5,11,3.132231,0.6171948,32.59207,0,0.4796754,0.4796754,14
A2,7/25/2022 16:47,1,ARM,GS2,G,0,5.5,1.865803,0.5779601,34.45789,0,0.4670577,0.4670577,15
A2,7/25/2022 16:47,1,ARM,GS2,G,0,11,1.657289,0.2501452,36.11518,0,0.4550981,0.4550981,16
A2,7/25/2022 16:47,1,ARM,GS2,G,0,5.5,1.002074,0.269435,37.11724,0,0.5002645,0.5002645,17
A2,7/25/2022 16:47,1,ARM,GS2,G,2.5,11,1.96265,0.3730251,39.07988,0,0.4647779,0.4647779,18
A2,7/25/2022 16:47,1,ARM,GS2,G,0,5.5,1.615076,0.5589204,40.69495,0,0.4726508,0.4726508,19
A2,7/25/2022 16:47,1,ARM,GS2,G,2.5,5.5,1.600911,0.4218754,42.29586,0,0.4600405,0.4600405,20
A3,7/25/2022 16:50,1,ARM,GS2,G,0,5.5,2.421697,0.01366958,2.421697,7,0.5122193,0.5122193,1
A3,7/25/2022 16:50,1,ARM,GS2,G,5,11,2.116527,0.6738352,4.538224,0,0.4905544,9.024265,2
A3,7/25/2022 16:50,1,ARM,GS2,G,0,5.5,2.464384,0.898479,7.002608,0,0.4539158,0.4539158,3
A3,7/25/2022 16:50,1,ARM,GS2,G,2.5,11,2.074968,0.3586285,9.077577,0,0.4962868,5.473665,4
A3,7/25/2022 16:50,1,ARM,GS2,G,0,5.5,1.920897,0.6146529,10.99848,0,0.4861882,0.4998987,5
A3,7/25/2022 16:50,1,ARM,GS2,G,5,5.5,1.837333,0.4864106,12.83581,0,0.483366,0.483366,6
A3,7/25/2022 16:50,1,ARM,GS2,G,0,11,1.866148,0.3400949,14.70196,0,0.4818286,0.755828,7
A3,7/25/2022 16:50,1,ARM,GS2,G,2.5,11,2.728759,0.6582507,17.43072,1,0.4947051,0.5133799,8
A3,7/25/2022 16:50,1,ARM,GS2,G,0,5.5,2.087946,0.7340602,19.51867,1,0.4398319,0.4398319,9
A3,7/25/2022 16:50,1,ARM,GS2,G,0,11,1.824103,0.4460026,21.34276,0,0.4783265,0.4783265,10
A3,7/25/2022 16:50,1,ARM,GS2,G,5,11,2.57523,0.8769953,23.918,0,0.4910896,0.4910896,11
A3,7/25/2022 16:50,1,ARM,GS2,G,0,11,2.422954,0.8162352,26.34094,0,0.4680926,0.4680926,12
A3,7/25/2022 16:50,1,ARM,GS2,G,0,11,1.839324,0.3913147,28.18027,0,0.4925451,0.4925451,13
A3,7/25/2022 16:50,1,ARM,GS2,G,2.5,5.5,1.390537,0.5181456,29.5708,0,0.4458536,0.4458536,14
A3,7/25/2022 16:50,1,ARM,GS2,G,0,5.5,1.627733,0.4737204,31.19854,0,0.482272,0.482272,15
A3,7/25/2022 16:50,1,ARM,GS2,G,0,11,1.602353,0.2554727,32.80089,0,0.4382675,0.4382675,16
A3,7/25/2022 16:50,1,ARM,GS2,G,2.5,5.5,3.521975,0.8633087,36.32286,1,0.4804546,0.4804546,17
A3,7/25/2022 16:50,1,ARM,GS2,G,0,11,2.227669,0.7437897,38.55053,0,0.4663829,0.4663829,18
A3,7/25/2022 16:50,1,ARM,GS2,G,0,5.5,2.046258,0.8631383,40.59679,0,0.4382243,0.4382243,19
A3,7/25/2022 16:50,1,ARM,GS2,G,5,5.5,2.116368,0.3923654,42.71319,0,0.4884826,0.4884826,20
A4,7/25/2022 16:51,1,ARM,GS2,G,0,5.5,1.406451,0.3923654,1.406451,0,0.4353108,0.4353108,1
A4,7/25/2022 16:52,1,ARM,GS2,G,0,11,1.781792,0.1409325,3.188244,0,0.4895878,0.4895878,2
A4,7/25/2022 16:52,1,ARM,GS2,G,2.5,5.5,1.461945,0.2441812,4.65019,0,0.4964226,0.4964226,3
A4,7/25/2022 16:52,1,ARM,GS2,G,0,5.5,2.22738,0.9148918,6.877569,0,0.4532634,0.4532634,4
A4,7/25/2022 16:52,1,ARM,GS2,G,0,11,2.868427,0.4420119,9.745998,0,0.4949144,0.4303533,5
A4,7/25/2022 16:52,1,ARM,GS2,G,2.5,11,2.185065,0.4695097,11.93106,0,0.4827133,0.4827133,6
A4,7/25/2022 16:52,1,ARM,GS2,G,0,5.5,1.754513,0.5295092,13.68558,0,0.5113316,0.5113316,7
A4,7/25/2022 16:52,1,ARM,GS2,G,2.5,11,2.060302,0.4308142,15.74588,0,0.455513,0.4347236,8
A4,7/25/2022 16:52,1,ARM,GS2,G,0,11,2.14435,0.561906,17.89023,0,0.4321664,0.4321664,9
A4,7/25/2022 16:52,1,ARM,GS2,G,5,11,2.955557,0.9095418,20.8458,0,0.5056469,0.5056469,10
A4,7/25/2022 16:52,1,ARM,GS2,G,0,5.5,2.042631,0.7807004,22.88843,0,0.4522297,0.4522297,11
A4,7/25/2022 16:52,1,ARM,GS2,G,0,5.5,1.740117,0.3523768,24.62856,0,0.5157124,0.5157124,12
A4,7/25/2022 16:52,1,ARM,GS2,G,5,11,2.714673,0.7025897,27.34324,0,0.5145913,0.5145913,13
A4,7/25/2022 16:52,1,ARM,GS2,G,0,11,2.046909,0.5347097,29.39015,0,0.4506887,0.4506887,14
A4,7/25/2022 16:52,1,ARM,GS2,G,2.5,5.5,2.449932,1.210828,31.84009,0,0.4889658,7.914526,15
A4,7/25/2022 16:52,1,ARM,GS2,G,0,11,2.700855,0.6611465,34.54092,0,0.4751389,0.4751389,16
A4,7/25/2022 16:52,1,ARM,GS2,G,0,11,2.659903,0.2229436,37.2008,1,0.4703639,0.4968943,17
A4,7/25/2022 16:52,1,ARM,GS2,G,5,5.5,1.920499,0.3872724,39.1213,0,0.5058432,0.5058432,18
A4,7/25/2022 16:52,1,ARM,GS2,G,0,5.5,2.214215,0.8686373,41.33552,0,0.4395053,0.4395053,19
A4,7/25/2022 16:52,1,ARM,GS2,G,5,5.5,2.35248,0.5576935,43.68798,0,0.4799641,0.4799641,20
A5,7/25/2022 16:53,1,ARM,GS2,G,0,11,2.296727,0.5576935,2.296727,0,0.4635037,0.4635037,1
A5,7/25/2022 16:53,1,ARM,GS2,G,0,11,2.032533,0.3904123,4.329259,0,0.4445142,0.4445142,2
A5,7/25/2022 16:53,1,ARM,GS2,G,5,11,2.130006,0.3018405,6.459268,0,0.5043728,0.5043728,3
A5,7/25/2022 16:53,1,ARM,GS2,G,0,11,2.311385,0.5246651,8.770653,0,0.5050991,0.5050991,4
A5,7/25/2022 16:53,1,ARM,GS2,G,5,5.5,2.408705,0.7660345,11.17936,0,0.4660762,0.4660762,5
A5,7/25/2022 16:53,1,ARM,GS2,G,0,5.5,2.74287,1.23853,13.92223,0,0.4436407,0.4436407,6
A5,7/25/2022 16:53,1,ARM,GS2,G,0,11,1.935029,0.294459,15.85726,0,0.4751105,0.5040493,7
A5,7/25/2022 16:53,1,ARM,GS2,G,5,11,1.935126,0.2308723,17.79239,0,0.4941591,0.4484932,8
A5,7/25/2022 16:53,1,ARM,GS2,G,0,5.5,1.767961,0.5762779,19.56035,0,0.4561017,0.4561017,9
A5,7/25/2022 16:53,1,ARM,GS2,G,2.5,11,3.480475,0.6229589,23.04084,1,0.4754727,0.4754727,10
A5,7/25/2022 16:53,1,ARM,GS2,G,0,5.5,1.629423,0.487327,24.67027,0,0.4431551,0.4431551,11
A5,7/25/2022 16:53,1,ARM,GS2,G,2.5,11,1.810932,0.4691732,26.48119,0,0.4259241,0.4259241,12
A5,7/25/2022 16:53,1,ARM,GS2,G,0,5.5,1.878552,0.4227816,28.35974,0,0.4898899,0.4898899,13
A5,7/25/2022 16:53,1,ARM,GS2,G,5,5.5,1.781808,0.3198853,30.14155,0,0.4963704,0.4963704,14
A5,7/25/2022 16:53,1,ARM,GS2,G,0,5.5,2.908566,1.416386,33.05011,0,0.5061374,0.5061374,15
A5,7/25/2022 16:53,1,ARM,GS2,G,2.5,5.5,1.588177,0.7009612,34.63828,0,0.4936176,0.4936176,16
A5,7/25/2022 16:53,1,ARM,GS2,G,0,11,2.158301,0.4826016,36.79658,0,0.4718592,0.4718592,17
A5,7/25/2022 16:53,1,ARM,GS2,G,0,11,4.68479,0.6269334,41.48138,3,0.4584678,0.4584678,18
A5,7/25/2022 16:53,1,ARM,GS2,G,0,5.5,1.774524,0.6586562,43.2559,0,0.4768931,0.4768931,19
A5,7/25/2022 16:53,1,ARM,GS2,G,2.5,5.5,1.434436,0.3723777,44.69032,0,0.4509939,0.4509939,20
W1,7/25/2022 16:55,1,WRIST_ARM,GS2,G,0,5.5,1.002769,0.3723777,1.002769,1,0.4696237,0.4696237,1
W1,7/25/2022 16:55,1,WRIST_ARM,GS2,G,5,5.5,1.705075,0.4857959,2.707844,0,0.4940966,0.5068664,2
W1,7/25/2022 16:55,1,WRIST_ARM,GS2,G,0,5.5,1.573151,0.6594519,4.280995,0,0.4645835,0.4645835,3
W1,7/25/2022 16:55,1,WRIST_ARM,GS2,G,0,11,2.527496,0.4184892,6.808494,2,0.5013981,0.4440037,4
W1,7/25/2022 16:55,1,WRIST_ARM,GS2,G,5,5.5,2.178141,1.034809,8.986634,0,0.5094668,0.5094668,5
W1,7/25/2022 16:55,1,WRIST_ARM,GS2,G,0,11,1.823905,0.4164464,10.81054,0,0.441343,0.441343,6
W1,7/25/2022 16:55,1,WRIST_ARM,GS2,G,0,11,4.817071,0.7934198,15.62761,4,0.4574416,0.4574416,7
W1,7/25/2022 16:55,1,WRIST_ARM,GS2,G,0,5.5,1.364438,0.3902442,16.99204,0,0.4621747,0.4621747,8
W1,7/25/2022 16:55,1,WRIST_ARM,GS2,G,5,11,2.158167,0.3761542,19.15021,0,0.4829544,0.4829544,9
W1,7/25/2022 16:55,1,WRIST_ARM,GS2,G,0,11,2.088595,0.3078059,21.2388,1,0.4786786,0.4786786,10
W1,7/25/2022 16:55,1,WRIST_ARM,GS2,G,5,11,2.909446,0.2784193,24.14824,0,0.4983421,0.4983421,11
