,Timestamp,Participant_id,Technique,Gesture_set,Pointer_type,height,distance,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,combo_index,,,,,,,,,,
A1,7/27/2022 14:52,1,ARM,GS2,G,0,5.5,1.801601,0.01391953,1.801601,7,0.4177794,0.5010258,1,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,2.5,5.5,1.539521,0.5079314,3.341123,0,0.4989367,10.25762,2,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,5.5,1.718189,1.006768,5.059312,0,0.4539874,0.8224561,3,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,5,11,2.171865,0.5668964,7.231177,0,0.5027587,9.38683,4,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,11,2.770815,1.072483,10.002,0,0.478901,0.8754463,5,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,5.5,1.350146,0.3066906,11.35214,0,0.4573774,1.310239,6,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,11,1.907849,0.5445545,13.25999,0,0.4694494,1.927137,7,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,5,5.5,3.424136,0.5438516,16.68413,1,0.4931507,13.43008,8,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,11,3.494979,0.8398972,20.17909,1,0.4425426,1.857626,9,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,5.5,2.004506,1.199126,22.18361,0,0.4356102,1.648021,10,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,5.5,1.740504,0.4176758,23.92412,0,0.4906049,1.407646,11,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,2.5,5.5,1.447526,0.5288144,25.37165,0,0.4738217,10.05285,12,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,11,1.963199,0.4044157,27.33484,0,0.4737391,2.298019,13,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,11,1.968752,0.7607011,29.3036,0,0.5025547,2.087589,14,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,2.5,5.5,2.012801,0.8755304,31.3164,0,0.4921334,9.85568,15,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,11,1.907759,0.4233439,33.22416,0,0.4432997,2.095657,16,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,2.5,11,1.795871,0.1788309,35.02004,0,0.4687678,6.519114,17,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,11,3.397089,0.5639164,38.4171,2,0.4935182,0.4935182,18,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,5,5.5,1.940254,0.5575392,40.35734,0,0.4611533,12.93123,19,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,5.5,2.297398,1.52028,42.65474,0,0.4992469,0.4992469,20,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,5,5.5,2.584311,0.9332423,45.23907,0,0.5071452,12.77401,21,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,5.5,1.783506,0.6692996,47.02258,0,0.4267878,0.4844393,22,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,2.5,11,2.045055,0.4304522,49.06763,0,0.4981436,6.004429,23,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,5.5,1.893825,0.7324271,50.96146,0,0.4956619,0.8289833,24,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,5,11,2.464807,0.6371281,53.42627,0,0.4526747,8.282428,25,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,11,2.575125,1.240995,56.00137,0,0.4292772,0.4292772,26,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,0,5.5,1.475065,0.512194,57.47643,0,0.4805218,0.4805218,27,,,,,,,,,,
A1,7/27/2022 14:53,1,ARM,GS2,G,5,11,2.567019,0.6467738,60.04344,0,0.4887894,8.754896,28,,,,,A1,A3,A5,W1,W3,W5
A1,7/27/2022 14:53,1,ARM,GS2,G,0,11,1.889807,0.4127673,61.93325,0,0.4411308,1.205181,29,,,,,2.135630345,2.2867074,2.2011348,2.248157621,2.064221433,2.236195103
A1,7/27/2022 14:54,1,ARM,GS2,G,2.5,11,,0.1634217,67.13902,3,0.4586856,5.674495,30,2.135630345,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,0,5.5,1.30866,0.1634217,1.30866,11,0.5060093,0.4357051,1,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,5,11,1.90727,0.1406918,3.21593,0,0.5059327,0.5059327,2,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,0,5.5,1.614868,0.9188153,4.8308,0,0.4255255,0.5959504,3,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,5,5.5,3.92636,0.3188554,8.757162,0,0.468311,0.5054787,4,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,0,5.5,2.171756,0.7544205,10.92892,0,0.4816093,0.4816093,5,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,0,5.5,1.36416,0.4181793,12.29308,0,0.5087188,0.5087188,6,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,2.5,11,1.866203,0.6445497,14.15928,0,0.4616558,0.4616558,7,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,0,5.5,3.271675,0.7631304,17.43097,2,0.423974,0.423974,8,,,,,,,,,,
A3,7/27/2022 14:56,1,ARM,GS2,G,0,11,2.144612,0.4592015,19.57557,0,0.4247903,0.4902218,9,,,,,,,,,,
