Timestamp,Participant_id,Technique,Gesture_set,Pointer_type,height,distance,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,personalization_type,combo_index
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,11,3.150277,4.232449,3.150277,15,0.5157666,0.5157666,W3,1
7/29/2022 15:02,1,WRIST_ARM,GS2,G,2.5,5.5,1.913529,0.733475,5.063807,0,0.5397165,0.5397165,W3,2
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,5.5,1.879242,0.7994855,6.943051,0,0.5397165,0.5397165,W3,3
7/29/2022 15:02,1,WRIST_ARM,GS2,G,5,11,2.575736,0.6037979,9.518785,0,0.6995628,0.6995628,W3,4
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,5.5,3.98331,3.98331,13.50209,1,0.6995628,0.6995628,W3,5
7/29/2022 15:02,1,WRIST_ARM,GS2,G,2.5,5.5,2.128697,0.7196,15.63079,0,0.6189684,0.6189684,W3,6
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,11,3.118964,0.9016566,18.74975,1,0.5007946,0.602071,W3,7
7/29/2022 15:02,1,WRIST_ARM,GS2,G,5,5.5,2.296481,0.5396264,21.04624,0,0.495991,0.495991,W3,8
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,5.5,2.979184,2.026198,24.02543,0,0.5767682,0.5767682,W3,9
7/29/2022 15:02,1,WRIST_ARM,GS2,G,2.5,11,3.285766,0.7983799,27.31118,1,0.6982425,0.6982425,W3,10
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,11,3.280209,1.027727,30.59139,1,0.6982425,0.6982425,W3,11
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,11,1.815662,0.7204472,32.40705,0,0.5281491,0.5281491,W3,12
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,5.5,1.419971,0.01402193,33.82699,0,0.4459421,0.4459421,W3,13
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,5.5,1.545677,0.6818265,35.37268,0,0.5186626,0.6017779,W3,14
7/29/2022 15:02,1,WRIST_ARM,GS2,G,5,11,3.327175,0.6347572,38.69981,1,0.5186626,0.6017779,W3,15
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,11,2.784544,0.6435942,41.48435,1,0.5575468,0.5575468,W3,16
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,11,2.874798,0.3756527,44.35915,1,0.4595937,0.4595937,W3,17
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,5.5,5.221863,0.01468385,49.58105,1,0.4834771,0.4834771,W3,18
7/29/2022 15:02,1,WRIST_ARM,GS2,G,2.5,11,2.219697,0.772652,51.80076,0,0.6638824,0.6638824,W3,19
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,5.5,1.865313,0.7562471,53.6661,0,0.7058944,0.7058944,W3,20
7/29/2022 15:02,1,WRIST_ARM,GS2,G,2.5,5.5,1.364491,0.01452068,55.03059,0,0.5208852,0.5419856,W3,21
7/29/2022 15:02,1,WRIST_ARM,GS2,G,0,11,3.195838,0.5015771,58.22641,1,0.6111266,0.6111266,W3,22
7/29/2022 15:03,1,WRIST_ARM,GS2,G,2.5,11,2.345156,0.9097595,60.57156,0,0.6111266,0.6111266,W3,23
7/29/2022 15:03,1,WRIST_ARM,GS2,G,0,5.5,1.948959,0.792021,62.52052,0,0.6111266,0.6111266,W3,24
7/29/2022 15:03,1,WRIST_ARM,GS2,G,5,5.5,1.768688,0.5154409,64.28922,0,0.4574699,0.4574699,W3,25
7/29/2022 15:03,1,WRIST_ARM,GS2,G,0,11,2.282825,0.8085482,66.57206,0,0.8201628,0.8201628,W3,26
7/29/2022 15:03,1,WRIST_ARM,GS2,G,0,5.5,1.433803,0.543155,68.00586,0,0.5929922,0.5929922,W3,27
7/29/2022 15:03,1,WRIST_ARM,GS2,G,5,11,3.592503,0.6860242,71.59834,1,0.5929922,0.5929922,W3,28
7/29/2022 15:03,1,WRIST_ARM,GS2,G,0,11,2.121223,0.9646869,73.71959,0,0.4818487,0.4818487,W3,29
7/29/2022 15:03,1,WRIST_ARM,GS2,G,5,5.5,1.971984,0.593985,75.69156,0,0.5240915,0.5240915,W3,30
