participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
10,WRIST_ARM,GS2,G,0,7.5,2.122691,0,0.3303887,0.3303887,0.3784162,-0.1219912,348.6225,W3,C4,1
10,WRIST_ARM,GS2,G,5,10.5,2.520729,0,0.3303887,0.3303887,9.908268,-4.957283,329.1246,W3,C4,2
10,WRIST_ARM,GS2,G,0,10.5,2.475371,0,0.3498482,0.3375254,10.13332,4.814559,357.1138,W3,C4,3
10,WRIST_ARM,GS2,G,5,7.5,2.242021,0,0.3218081,0.3218081,6.902344,-4.936602,329.3923,W3,C4,4
10,WRIST_ARM,GS2,G,0,7.5,2.797538,0,0.3863727,0.3863727,7.160753,4.777737,7.411218,W3,C4,5
10,WRIST_ARM,GS2,G,5,7.5,3.134168,0,0.3863727,0.3863727,6.876711,-4.938784,330.7896,W3,C4,6
10,WRIST_ARM,GS2,G,0,10.5,3.787433,0,0.2308716,0.2308716,10.09017,4.900932,351.6589,W3,C4,7
10,WRIST_ARM,GS2,G,0,10.5,3.131532,0,0.3080512,0.298882,9.883126,-0.163497,355.5364,W3,C4,8
10,WRIST_ARM,GS2,G,0,7.5,2.090867,0,0.3599622,0.3633259,0.3915196,-0.1343933,355.5885,W3,C4,9
10,WRIST_ARM,GS2,G,5,10.5,3.019907,0,0.3599622,0.3633259,9.833754,-4.884158,331.3182,W3,C4,10
10,WRIST_ARM,GS2,G,0,7.5,2.618588,0,0.2715728,0.2715728,0.298729,-0.2114941,7.038893,W3,C4,11
10,WRIST_ARM,GS2,G,0,7.5,2.42117,0,0.2539136,0.3441589,6.891052,-0.2099304,5.092653,W3,C4,12
10,WRIST_ARM,GS2,G,5,7.5,3.872624,0,0.2539136,0.3441589,7.065012,-4.916963,328.3666,W3,C4,13
10,WRIST_ARM,GS2,G,0,10.5,3.227923,0,0.3039031,2.486998,9.958837,4.705499,17.10888,W3,C4,14
10,WRIST_ARM,GS2,G,0,7.5,2.269939,0,0.2759932,0.2759932,7.117978,-0.1743009,355.4086,W3,C4,15
10,WRIST_ARM,GS2,G,0,10.5,2.991087,0,0.2759932,0.2759932,0.5214912,-0.1886379,354.1006,W3,C4,16
10,WRIST_ARM,GS2,G,0,10.5,2.341281,0,0.2759932,0.2759932,10.07289,-0.09631753,346.622,W3,C4,17
10,WRIST_ARM,GS2,G,5,10.5,4.537652,1,0.2759932,0.2759932,9.920487,-4.913661,328.9705,W3,C4,18
10,WRIST_ARM,GS2,G,0,7.5,2.728988,0,0.2887627,0.2887627,7.186996,4.7321,13.41121,W3,C4,19
