participant_id,height,distance,checkpoint_time,mistake_count,pointerHand,confirmationType,Tech,targetSize,combo_index
1,0,11,1.419467,0,righthand,righthand,righthandrighthand,0.8,1
1,0,5.5,1.423734,0,righthand,righthand,righthandrighthand,0.6,2
1,0,11,2.475548,0,righthand,righthand,righthandrighthand,0.4,3
1,0,5.5,1.743604,0,righthand,righthand,righthandrighthand,0.8,4
1,0,5.5,1.779697,0,righthand,righthand,righthandrighthand,0.8,5
1,5,5.5,2.188139,0,righthand,righthand,righthandrighthand,0.8,6
1,0,5.5,2.207156,0,righthand,righthand,righthandrighthand,0.4,7
1,5,11,2.441647,0,righthand,righthand,righthandrighthand,0.4,8
1,0,5.5,2.110821,0,righthand,righthand,righthandrighthand,0.4,9
1,0,5.5,1.926556,0,righthand,righthand,righthandrighthand,0.8,10
1,5,5.5,2.796718,0,righthand,righthand,righthandrighthand,0.4,11
1,0,5.5,2.186945,0,righthand,righthand,righthandrighthand,0.8,12
1,5,5.5,2.101334,0,righthand,righthand,righthandrighthand,0.8,13
1,0,5.5,2.662214,0,righthand,righthand,righthandrighthand,0.4,14
1,5,11,2.239215,0,righthand,righthand,righthandrighthand,0.6,15
1,0,11,2.312886,0,righthand,righthand,righthandrighthand,0.8,16
1,5,11,2.336924,0,righthand,righthand,righthandrighthand,0.8,17
1,0,5.5,3.760834,0,righthand,righthand,righthandrighthand,0.4,18
1,0,5.5,1.988321,0,righthand,righthand,righthandrighthand,0.8,19
1,0,11,6.533266,0,righthand,righthand,righthandrighthand,0.4,20
1,5,5.5,2.265281,0,righthand,righthand,righthandrighthand,0.4,21
1,0,5.5,2.760988,0,righthand,righthand,righthandrighthand,0.4,22
1,0,5.5,2.600406,0,righthand,righthand,righthandrighthand,0.6,23
1,5,5.5,1.910507,0,righthand,righthand,righthandrighthand,0.6,24
1,0,11,2.586822,0,righthand,righthand,righthandrighthand,0.8,25
1,0,11,6.295113,0,righthand,righthand,righthandrighthand,0.4,26
1,5,11,2.182838,0,righthand,righthand,righthandrighthand,0.8,27
1,0,5.5,5.543773,1,righthand,righthand,righthandrighthand,0.4,28
1,5,11,2.46114,0,righthand,righthand,righthandrighthand,0.4,29
1,0,5.5,2.494786,0,righthand,righthand,righthandrighthand,0.4,30
1,0,11,4.48076,0,righthand,righthand,righthandrighthand,0.4,31
1,5,11,2.342757,0,righthand,righthand,righthandrighthand,0.6,32
1,0,5.5,2.279897,0,righthand,righthand,righthandrighthand,0.6,33
1,5,5.5,2.219367,0,righthand,righthand,righthandrighthand,0.6,34
1,0,5.5,2.096638,0,righthand,righthand,righthandrighthand,0.6,35
1,5,5.5,2.455136,0,righthand,righthand,righthandrighthand,0.8,36
1,0,5.5,1.804573,0,righthand,righthand,righthandrighthand,0.6,37
1,5,11,2.245369,0,righthand,righthand,righthandrighthand,0.6,38
1,0,11,2.558188,0,righthand,righthand,righthandrighthand,0.6,39
1,0,11,3.610748,0,righthand,righthand,righthandrighthand,0.4,40
1,0,11,1.943449,0,righthand,righthand,righthandrighthand,0.8,41
1,0,5.5,1.799217,0,righthand,righthand,righthandrighthand,0.8,42
1,5,11,3.144738,0,righthand,righthand,righthandrighthand,0.4,43
